,index,Descriptors_singlish,Freq_singlish,Avg_sent_singlish,Avg_sent_no singlish
152,let,"it ,window",2,1.0,1.0
153,ict,done,2,1.0,1.0
154,yea,breathing,2,1.0,1.0
155,jog,do,2,1.0,1.0
156,things,"mix ,do",2,1.0,1.0
157,bo,fail,1,0.0,0.0
158,applies,manning,1,1.0,1.0
159,test,did,1,1.0,1.0
160,meaning,what,1,0.6666666666666666,1.0
161,park,"they ,vehicles",1,1.0,1.0
162,dun,want,1,1.0,1.0
163,government,deems,1,1.0,1.0
164,timing,timing,1,1.0,1.0
165,easier,"route ,it",1,1.0,1.0
166,tekan,"he ,siayeah",1,1.0,1.0
167,think,"i ,specialistdont",1,1.0,1.0
168,account,have,1,1.0,1.0
169,relax,bmt,1,1.0,1.0
170,doubt,i,1,1.0,1.0
171,send,me,1,2.0,2.0
172,saturday,interview,1,1.0,1.0
173,guy,waiting,1,1.0,1.0
174,knows,anyone,1,1.0,1.0
175,choose,"you ,pes",1,1.3,1.0
176,count,it,1,1.0,1.0
177,told,me,1,2.0,2.0
178,want,you,1,1.6,1.0
179,heard,"i ,rumors",1,1.0,1.0
180,one,took,1,1.0,1.0
181,become,satsun,1,1.0,1.0
182,put,"they ,exempted",1,1.0,1.0
183,find,ans,1,1.0,1.0
184,lah,finish,1,1.0,1.0
185,booking,cancel,1,1.0,1.0
186,life,using,1,1.0,1.0
187,oc,told,1,1.0,1.0
188,date,get,1,1.0,1.0
189,cny,need,1,1.0,1.0
190,seek,help,1,1.0,1.0
