,index,Avg_sent,Descriptors,Freq
322,icts,0.8703703703703703,"done ,arrange ,have ,arrange ,arrange ,have ,arrange ,keys ,add ,scheduling ,done ,arrange ,have ,arrange ,arrange ,have ,arrange ,keys ,add ,scheduling ,done ,do",18
323,reach,0.8571428571428571,"entrance ,calling ,you ,cycles ,calling ,you ,cycles ,you ,age ,pagar ,wayi ,ipt ,fcc ,mr ,rtipptsession ,i ,fcc",18
324,aug,0.8793103448275862,"means ,window ,means ,window ,means ,window ,means ,window",18
325,big,1.0,camp,18
326,order,0.9285714285714286,"received ,give",18
327,mine,0.8725490196078431,"updated ,pm ,updated ,opp ,completed ,allowed ,did ,allowed ,did ,booked ,quarter ,booked ,open ,click",18
328,meet,0.8815165876777251,"windowpls ,requirement ,ppt ,u ,incentivesawardu ,requirements ,u ,camps ,mo ,requirement ,requirement ,you ,requirements ,you ,standards ,requirement ,which ,you ,you ,people ,which ,you ,you ,people ,you ,good",18
329,level,0.86,"know ,clear ,know ,clear ,know ,clear ,know ,clear ,maintain ,maintain ,get ,get ,hold ,this ,decide",18
330,gold,0.8245614035087719,"he ,way ,he ,way ,achieve ,get ,attain ,earn ,got ,get ,i",18
331,school,0.8260869565217391,"start ,start ,i ,go ,has ,has ,shiong ,get ,go",17
332,asa,0.8333333333333334,"i ,easy ,i ,you ,top ,top ,vocations ,need",17
333,chances,0.8829787234042553,"higher ,call ,call ,increase ,high ,stand ,windowclosing ,higher ,affect ,there ,enter ,person",17
334,notice,0.9130434782608695,"received ,received ,get",17
335,covid,0.9411764705882353,"infectious ,infectious ,infectious",17
336,luck,0.86,"try ,trying ,avoid ,defaulter ,try ,it ,push ,wait",17
337,total,0.8888888888888888,"sessions ,sessions ,session ,it ,run",17
338,away,0.8333333333333334,"i ,pop",17
339,coy,0.84,"got ,shooting ,sent ,sent ,sent ,pops ,you ,you ,i",17
340,bros,0.88,"updated ,take ,wrote ,got",17
341,vocations,0.851063829787234,"there ,get ,there ,get ,see ,what ,affect ,expect ,get ,get ,support ,support ,wear ,wise ,asa",17
342,public,1.0,do,17
343,company,0.8602150537634409,"finished ,get ,matter ,i ,has ,i ,has ,joining ,got ,required ,required ,we ,company ,company",17
344,bookings,0.8809523809523809,"is ,adjust ,retrieve ,means ,blocking ,resuming ,blocking ,resuming ,make ,have ,how",17
345,staff,0.8777777777777778,"professional ,keep ,keep ,rude ,impatient ,expect ,ok ,nice ,friendly ,auto ,ask ,pestered",17
346,personnel,0.8461538461538461,"i ,i ,tell ,ipptslot ,report ,report ,told ,said ,said ,get ,seen",17
347,isnt,0.8888888888888888,"option ,lockers ,it ,thing ,grenade ,veto ,baseallowance ,queue",17
348,review,0.8985507246376812,"give ,undergoing ,arrange ,undergoing ,arrange ,caseetc ,video ,video",17
349,activity,0.8636363636363636,"novict ,theres ,do ,do",17
350,friend,0.8433734939759037,"signs ,signs ,told ,ask ,report ,say ,ask ,have ,told ,say ,know ,told ,e ,deferred",17
352,stupid,0.88,"mindefsaf ,part ,you ,you",17
353,scs,0.8833333333333333,"enter ,paradise ,complete ,have ,complete ,have ,requires ,u",16
354,sleep,0.8571428571428571,"more ,all ,night ,losing ,need ,have ,have ,disturbed ,you ,you",16
356,amount,0.8780487804878049,"insignificant ,calculate ,get ,calculate ,get ,higher ,shave ,mention ,feel ,feel ,outfield ,occ ,outfield ,occ ,gets ,give",16
357,extend,0.8865979381443299,"service ,service ,service ,service ,bdae ,rtwindow ,they ,window ,endaprmay ,period ,they ,number",16
358,dates,0.8977272727272727,"avoid ,unavailable ,unavailable ,unavailable ,checked ,are ,show ,mon ,bookamend ,select",16
359,ippts,0.8775510204081632,"had ,you ,doing ,attempted ,book ,book ,attending",16
360,short,0.875,"you ,you",16
361,thursday,1.0,daylecture,16
362,body,0.8688524590163934,"streamline ,move ,work ,know ,work ,know ,prevent ,count ,got",16
364,face,0.8642857142857143,"charge ,action ,i ,charges ,show ,charge ,show ,show ,charge ,show ,show ,charge ,show ,issue ,music ,consequences ,that ,those ,that ,those",16
365,higher,0.9166666666666666,"amount ,windows ,chances",16
366,condition,0.8714285714285714,"talk ,good ,good ,fulfilled ,worsen ,serious ,good ,good ,got ,recover",16
