,Avg_sent,Descriptors,Freq
sure,1.0,"make ,liao ,saw",5
years,0.7333333333333333,"old ,many ,clear ,working ,mean",5
days,1.0,"slight ,working",5
once,0.8888888888888888,"attend ,finish ,nsfs",5
week,1.0,last,5
always,1.0,"get ,thought",4
enough,1.0,"singlet ,cover ,lockers ,serious",4
such,1.0,"information ,offences ,programme",4
guess,0.0,falls,4
better,1.0,"go ,oic ,much ,oic ,much ,late",4
well,1.0,schtho,4
yet,1.0,"got ,taken ,resumed ,enter",4
other,0.875,"exercises ,reservist ,company ,doc",4
bmt,1.0,"enter ,part ,companies",4
fit,1.0,"new ,thing ,sessions ,finish",4
attendance,1.0,"recorded ,counting",4
rtippt,0.7777777777777777,"take ,sessions ,sessions",4
everything,1.0,"throw ,everything ,b2 ,get",4
recruits,1.0,"female ,male ,female ,male ,female ,male ,female",4
post,0.75,"refers ,previous ,see ,earlier",4
however,1.0,"allowed ,get ,iptsession",4
lor,1.0,decide,4
usually,1.25,"include ,show ,complete ,ask",4
saf,1.0,"try ,specialist",4
old,1.0,"year ,years ,liao",4
sms,1.0,"got ,received ,send ,show",4
need,1.0,"ippt ,wait",4
green,1.0,"managementprogramme ,tag ,warmachine",4
info,1.0,"avail ,got ,source",4
pro,1.0,term,4
month,1.0,next,4
point,1.0,"away ,'s",4
later,0.7142857142857143,"date ,contacted ,kena",4
maybe,1.0,"call ,shelter ,13 ,think",4
finish,1.1666666666666667,"next ,carry ,lah ,cycle ,never ,fit",3
medical,1.0,"review ,board ,board",3
call,1.0,"man ,received ,make",3
board,1.0,"med ,medical ,med ,medical ,medical ,require",3
thing,1.5,"fit ,experienced",3
leh,1.0,ask,3
status,1.0,"pes ,pes",3
nightmare,1.0,man,3
everyone,1.0,wan,3
able,0.8666666666666668,"extend ,ended ,take ,still ,book",3
question,1.0,"ask ,answer ,previous",3
birthday,0.0,"falls ,falls",3
late,1.4,"slightly ,bit ,better ,bit ,better",3
ipptsession,1.0,"book ,single ,book ,nonict ,attempt ,booked",3
normal,1.0,"person ,rt",3
review,1.0,"medical ,med ,med",3
ok,2.0,thanks,3
part,1.25,"unknown ,bmt ,probably ,best",3
rest,0.0,see,3
f,1.0,"returnuniform ,pes ,pes ,decision",3
yellow,1.0,applies,3
different,1.0,"locations ,thread ,slots",3
directly,1.0,"book ,contact ,call",3
guards,0.1428571428571428,kena,3
timing,1.0,"strict ,iptippt ,reporting ,timing ,booked ,iptippt ,reporting ,timing ,booked",3
cos,1.0,opened,3
nsf,1.0,"incoming ,went",3
guy,0.75,"tekan ,waiting",3
company,1.0,"matter ,get",3
recently,1.0,"went ,attended",3
otherwise,1.0,"charged ,get ,says",3
information,1.0,"reveal ,helps",3
s,1.0,request,3
previous,1.0,"post ,session ,question",3
rts,1.0,"clear ,need",3
orns,1.0,"year ,activity",3
attempt,1.0,"many ,ippt ,made ,charged",3
sat_sunsat_sun,1.0,sat_sunq,3
too,0.25,"save ,limited",3
again,1.0,"follow ,call ,call",3
probably,1.0,"breathing ,deployed ,part",3
simple,1.3333333333333333,"lo ,charged ,life ,ðÿ™ðÿ» ,life ,ðÿ™ðÿ»",3
dys8,1.0,"contacted ,contacted",3
away,1.0,point,2
hk,1.0,"icts ,icts ,icts ,icts",2
n,1.0,window,2
letter,1.0,"send ,thought",2
10th,1.0,"ippt ,iptsession",2
shelter,1.0,"first ,come ,maybe",2
pretty,1.0,"much ,fked",2
issue,1.0,facing,2
icts,1.0,"hk ,hk ,hk ,hk",2
luck,1.3333333333333333,"try ,good ,also",2
activities,1.0,indoor,2
timeliao,1.0,"last ,last",2
yeari,1.0,"last ,took",2
officer,1.0,"year ,commanding",2
programme,1.0,"new ,announce ,attending",2
alr,1.25,"running ,good ,machine ,use",2
oc,1.0,"told ,going",2
one,1.1666666666666667,"red ,took ,knows",2
hence,1.0,postponed,2
single,1.0,"ict ,ipptsession",2
mindef_saf,0.5,"mindef_saf ,stupid ,mindef_saf ,stupid",2
carpark,1.0,"sheltered ,park",2
rtsession,1.0,"1st ,first",2
someone,1.0,need,2
liao,0.8333333333333333,"old ,sure",2
people,0.6666666666666666,"take ,many",2
friend,1.0,"ask ,deferred",2
fully,1.0,"covered ,pay ,covered ,pay",2
ago,1.0,"went ,pop",2
bmi,1.0,requirement,2
batch,1.0,poly,2
own,1.0,call,2
likely,1.0,"rtdefaulter ,require",2
oic,2.0,"better ,better",2
s8_oc,1.0,"contact ,contact ,contact ,contact",2
requirement,1.0,"bmi ,got",2
saturday,1.0,interview,2
mo,0.5,"see ,ask",2
very,1.0,"strict ,random",2
specialist,1.0,"consultation ,saf",2
early,0.6666666666666666,"really ,take",2
mean,0.6666666666666666,"sian ,fccliao ,need",2
khatibcamp,1.0,campi,2
machine,1.0,alr,2
posts,1.0,mindeffb,2
instructions,1.0,"follow ,says",2
kind,1.0,count,2
sense,1.0,make,2
blue,1.0,band,2
red,2.0,one,2
defaulter,0.0,avoid,2
pushups,1.0,improve,2
today,1.0,consider,2
xiong,1.0,"etc ,commando",2
hq,1.0,"realize ,ncc",2
reason,1.0,"realize ,mild",2
bit,1.0,"include ,late",2
things,1.0,mix,2
tag,1.0,"purple ,'s ,green ,got",2
leap,1.0,"year ,year",2
closes,1.0,"window ,window",2
greent,1.0,"wrote ,wrote",2
message,1.0,conveyed,2
currently,1.0,"conducted ,serving",2
no,1.0,longer,2
present,1.0,instructors,2
feedback,1.0,necessary,2
sian,0.0,mean,2
companies,1.0,"bmt ,bmt",2
requirements,1.0,"meet ,fulfilled",2
program,1.0,"ipt ,starting",2
training,1.0,"weeks ,vocational",2
thread,1.5,"different ,create",2
answers,1.0,"get ,following ,help",2
instructors,1.0,"female ,present ,cisco ,ask",2
