,index,Descriptors_singlish,Freq_singlish,Avg_sent_singlish,Avg_sent_no singlish
417,queue,"big ,isnt",1,1.0,1.0
418,ball,need,1,1.0,1.0
419,doctors,need,1,1.0,1.0
420,officially,pes,1,1.0,1.0
421,mmidoctor,see,1,0.0,1.0
422,hospitaldoc,govt,1,1.0,1.0
423,serious,"condition ,enough",1,1.0,1.0
424,condition,serious,1,1.0,1.0
425,skincondition,chronic,1,1.0,1.0
426,bands,"colored ,issue",1,1.0,1.0
427,outstanding,medics,1,1.0,1.0
428,maintenance,seem,1,1.0,1.0
429,refers,post,1,1.0,1.0
430,ictippt,non,1,1.0,1.0
431,bo,fail,1,0.0,0.0
432,gdla,pass,1,1.0,1.0
433,wat,said,1,1.0,1.0
434,sir,"ah ,say",1,0.8,1.0
435,cert,present,1,1.0,1.0
436,hspcert,get,1,1.0,1.0
437,qn,got,1,1.0,1.0
438,cozonline,seems,1,1.0,1.0
439,needwait,start,1,1.0,1.0
440,necessary,feedback,1,1.0,1.0
441,honestly,speaking,1,1.0,1.0
442,__wwwnssg_web_wcm_connect_nsycitygalleryhttps,bayhttps,1,1.0,1.0
443,bayhttps,"citygallery ,__wwwnssg_web_wcm_connect_nsycitygalleryhttps",1,1.0,1.0
444,citygallery,"marina ,bayhttps",1,1.0,1.0
445,medals,"long ,service ,received",1,1.0,1.0
446,pay,service,1,1.0,1.0
447,kena,called,1,1.0,1.0
448,rtwindow,extend,1,1.0,1.0
449,rewards,"ippt ,monetary ,save",1,0.8333333333333334,1.0
450,monetary,rewards,1,2.0,2.0
451,saf100,u,1,1.0,1.0
452,suppose,"unit ,arrange",1,1.0,1.0
453,ict,"single ,done",1,1.0,1.0
454,bx,wake,1,0.0,1.0
455,cisco,instructors,1,1.0,1.0
456,arbo,jog,1,1.0,1.0
457,attempted,"u ,ippt_ictipptippt_ictippt",1,1.0,1.0
458,confusion,avoid,1,0.0,0.0
459,pros,got,1,1.0,1.0
460,night,last,1,1.0,1.0
461,ganyumobile,"waify ,using",1,1.0,1.0
462,waify,ganyumobile,1,1.0,1.0
463,usemachine,push,1,1.0,1.0
464,ground,"indoorcarpark ,track ,hard",1,1.0,1.0
465,hard,ground,1,1.0,1.0
466,track,ground,1,1.0,1.0
467,indoorcarpark,ground,1,1.0,1.0
468,liability,still,1,1.0,1.0
469,boat,carry,1,1.0,1.0
470,carry,"finish ,boat ,back",1,1.0,1.0
471,assaultboat,sitassault,1,1.0,1.0
472,sitassault,assaultboat,1,1.0,1.0
473,script,"self ,digging",1,1.0,1.0
474,self,script,1,1.0,1.0
475,pools,selarang,1,1.0,1.0
476,selarang,pools,1,1.0,1.0
477,else,go,1,1.0,1.0
478,log,wooden,1,1.0,1.0
479,wooden,log,1,1.0,1.0
480,hopeeveryone,clear,1,1.0,1.0
481,ipt_rt,tomorrowresume,1,1.0,1.0
482,tomorrowresume,ipt_rt,1,1.0,1.0
483,meaning,understand,1,1.0,1.0
484,minimum,items,1,1.0,1.0
485,sleeves,"calf ,wearing",1,1.0,1.0
486,calf,sleeves,1,1.0,1.0
487,singlet,"long ,wear ,enough",1,1.0,1.0
488,pants,"running ,wear",1,1.0,1.0
489,wear,"questions ,tights ,pants",1,1.0,1.0
490,tights,"short ,compression ,wear",1,1.0,1.0
491,compression,tights,1,1.0,1.0
492,short,tights,1,1.0,1.0
493,comprehensive,"guideline ,really",1,1.0,1.0
494,guideline,comprehensive,1,1.0,1.0
495,questions,wear,1,1.0,1.0
496,stint,upcoming,1,1.0,1.0
497,upcoming,stint,1,1.0,1.0
498,promptly,get,1,1.0,1.0
499,topic,know,1,1.0,1.0
500,furthermore,ipptrelated,1,1.0,1.0
501,nevertheless,matter,1,1.0,1.0
502,offences,related,1,1.0,1.0
503,related,offences,1,1.0,1.0
504,commanders,unit,1,1.0,1.0
505,understandsian,dununderstand,1,1.0,1.0
506,dununderstand,understandsian,1,1.0,1.0
507,items,"minimum ,bring",1,1.5,1.5
508,funky_banana,wrote,1,1.0,1.0
509,colour,tags,1,1.0,1.0
510,trainers,include,1,1.0,1.0
511,booklet,"ns ,try",1,1.0,1.0
512,recorded,attendance,1,1.0,1.0
513,aerobics,kpop,1,1.0,1.0
514,kpop,aerobics,1,1.0,1.0
515,classes,evening,1,1.0,1.0
516,purple,tag,1,1.0,1.0
517,personnel,obese,1,1.0,1.0
518,obese,personnel,1,1.0,1.0
519,managementprogramme,"green ,weightmanagement",1,1.0,1.0
520,weightmanagement,managementprogramme,1,1.0,1.0
521,fitness,aerobic,1,1.0,1.0
522,tags,"colour ,giving",1,1.0,1.0
523,aerobic,fitness,1,1.0,1.0
524,version,"imo ,intensive",1,1.0,1.0
525,intensive,version,1,1.0,1.0
526,imo,version,1,1.0,1.0
527,bars,weighted,1,1.0,1.0
528,bells,kettle,1,1.0,1.0
529,mostly,body,1,1.0,1.0
530,body,"upper ,mostly",1,1.0,1.0
531,upper,body,1,1.0,1.0
532,strength,blue,1,1.0,1.0
533,ippt_ictipptippt_ictippt,attempted,1,1.0,1.0
534,workcycle,whole,1,0.5,1.0
535,sryi,got,1,1.0,1.0
536,slightly,late,1,1.0,1.0
537,sat_sun,"sat_sun ,iptippt",1,1.0,1.0
538,wrongly,heard,1,1.0,1.0
539,causei,"doubtcause ,heard",1,1.0,1.0
540,doubtcause,causei,1,1.0,1.0
541,following,answers,1,1.0,1.0
542,hopefully,help,1,1.0,1.0
543,instructor,explain,1,1.0,1.0
544,earlier,post,1,1.0,1.0
545,sad,feel,1,1.0,1.0
546,feel,"tiocall ,really ,sad",1,0.6666666666666666,0.6666666666666666
547,holan,bo,1,1.0,1.0
548,man,"unit ,call ,back ,year ,nightmare",1,0.8,0.8
549,ippttill,40,1,1.0,1.0
550,suffering,one,1,2.0,1.0
551,complete,"reservist ,usually ,cycles",1,0.8333333333333334,1.0
552,unfair,simi,1,1.0,1.0
553,simi,"one ,unfair",1,1.5,1.0
554,serve,reservist,1,0.5,1.0
555,consultation,"specialist ,seeking",1,1.0,1.0
556,yearseptember,next,1,1.0,1.0
557,apparently,got,1,1.0,1.0
558,justme,"confirmation ,wrote",1,1.0,1.0
559,confirmation,justme,1,1.0,1.0
560,realize,"reason ,hq",1,1.0,1.0
561,weather,warm,1,2.0,2.0
562,warm,"weather ,warm",1,1.5,1.5
563,thingðÿ™ðÿ,ðÿ™ðÿ»,1,1.0,1.0
564,dunwan,go,1,1.0,1.0
565,reservice,one,1,2.0,1.0
566,recuit,seen,1,1.0,1.0
567,july,last,1,1.0,1.0
568,damn,packed,1,1.0,1.0
569,eastsider,relate,1,1.0,1.0
570,indeed,already,1,1.0,1.0
571,record,counted,1,1.0,1.0
572,total,sessions,1,1.0,1.0
573,ðÿ™ðÿ»,"simple ,thingðÿ™ðÿ",1,1.0,1.0
574,life,"simple ,using",1,1.0,1.0
575,sat_sunq,sat_sunsat_sun,1,1.0,1.0
576,house,nearest,1,1.0,1.0
577,gym,"safra ,nearest",1,1.0,1.0
578,safra,gym,1,1.0,1.0
579,person,"normal ,clock",1,1.0,1.0
580,locations,different,1,1.0,1.0
581,resume,mention,1,1.0,1.0
582,unknown,part,1,1.0,1.0
583,planning,current,1,1.0,1.0
584,sessionq,attend,1,0.6666666666666666,1.0
585,trainingsession,attend,1,0.6666666666666666,1.0
586,jam,'s,1,1.0,1.0
587,eta,12,1,1.0,1.0
588,noob,got,1,1.0,1.0
589,lo,simple,1,1.0,1.0
590,financial,year,1,1.0,1.0
591,mindefmarch,year,1,1.0,1.0
592,changes,anymore,1,1.0,1.0
593,anymore,changes,1,1.0,1.0
594,wincentive,"desired ,gold_silver_passgold_silver_pass ,gold_silver_passw ,get",1,1.0,1.0
595,gold_silver_passw,wincentive,1,1.0,1.0
596,gold_silver_passgold_silver_pass,wincentive,1,1.0,1.0
597,desired,wincentive,1,1.0,1.0
598,ippts,attending,1,1.0,1.0
599,payable,sessions,1,1.0,1.0
600,death,know,1,1.0,1.0
601,ippt_rt,ippt_rt,1,1.0,1.0
602,mindef,send,1,1.0,1.0
603,indoor,activities,1,1.0,1.0
604,sheltered,carpark,1,1.0,1.0
605,beforehand,15,1,1.0,1.0
606,strict,timing,1,1.0,1.0
607,lah,"mai ,volunteer ,finish",1,1.0,1.0
608,mai,lah,1,1.0,1.0
609,ready,book,1,1.0,1.0
610,intensely,training,1,1.0,1.0
611,ans,find,1,1.0,1.0
612,qns,got,1,1.0,1.0
613,rumors,heard,1,1.0,1.0
614,band,"blue ,take",1,0.6666666666666666,1.0
615,sadly,took,1,1.0,1.0
616,rocketbunnyi,"manrocketbunny ,ask",1,1.0,1.0
617,booking,cancel,1,1.0,1.0
618,roll,"nominal ,check ,sent",1,1.0,1.0
619,nominal,roll,1,1.0,1.0
620,campi,khatibcamp,1,1.0,1.0
621,kenna,"rt ,rejectsay",1,1.0,1.0
622,fren,bookrt,1,1.0,1.0
623,empty,slot,1,1.0,1.0
624,iptslot,"bedok ,throw ,see",1,0.6666666666666666,1.0
625,bedok,iptslot,1,1.0,1.0
626,redo,manage,1,1.0,1.0
627,thankman,manrocketbunny,1,1.0,1.0
628,separated,booked,1,1.0,1.0
629,fccliao,mean,1,0.0,0.0
630,normally,bookrt,1,1.0,1.0
631,bookrt,normally,1,1.0,1.0
632,medics,outstanding,1,2.0,2.0
633,feed,"spoon ,get",1,1.0,1.0
634,spoon,feed,1,1.0,1.0
635,bridge,cross,1,1.0,1.0
636,lk,served,1,1.0,1.0
637,automatically,change,1,0.0,1.0
638,default,cover,1,1.0,1.0
639,dumb,sound,1,1.0,1.0
